type,label,amount,cadence,category,notes
income_source,Primary salary,6200,monthly,job,Monthly take-home pay
income_source,Side income,850,monthly,business,Average monthly business or side income
expense_item,Rent or mortgage,2200,monthly,non_discretionary,Fixed housing cost
expense_item,Utilities,360,monthly,non_discretionary,Power water internet phone
expense_item,Groceries,980,monthly,discretionary,Food and household supplies
expense_item,Dining out,420,monthly,discretionary,Flexible spending to watch
expense_item,Car maintenance fund,250,monthly,sinking_expected,Known irregular cost set-aside
expense_item,Medical and family buffer,300,monthly,sinking_unexpected,Life-happens buffer
account,Emergency fund,12000,one_time,emergency_fund,Current cash reserve balance
debt,Visa card,3400,monthly,credit_card,Minimum payment 175
